seed,scenario,v5_Lmed,B1_Lmed,v5_vs_b1_pct,BC_Lmed,v5_vs_bc_pct
0,S1_Nominal,381.0213005965499,383.5819168286238,0.6675539486440123,377.8344526753836,-0.8434508548918075
0,S2_FlashCrowd,483.1989616037996,490.4600157046706,1.4804579106083964,469.3603939451903,-2.948388453122292
0,S3_PoP_Failure,405.7367534137483,414.64834509710386,2.1491926324386004,414.6483454026557,2.1491927045442667
0,S4_BGP_Anomaly,389.7578691196593,396.45589467229127,1.689475586727884,384.21463681505276,-1.442743657700591
0,S5_WACREN_OOD,761.5174451165171,770.2779459192627,1.1373168411683723,759.3273499014075,-0.28842569879696844
1,S1_Nominal,383.8344197299457,388.972760108806,1.321002626873667,386.1424245057668,0.5977081587901677
1,S2_FlashCrowd,453.6679489715401,467.0890150334966,2.8733422602529,452.2571051249399,-0.31195614852981235
1,S3_PoP_Failure,404.6965588820891,415.4729224223305,2.593758331448411,413.815609976615,2.203650822896996
1,S4_BGP_Anomaly,393.1739764530606,401.21585842594106,2.004377893842615,392.320621441177,-0.21751469722616706
1,S5_WACREN_OOD,781.1019802806954,786.3565361505971,0.6682154504143828,778.7963330539862,-0.2960526557267919
2,S1_Nominal,371.1762007908178,373.04274601291206,0.5003569274684819,363.9723536056508,-1.9792292227151003
2,S2_FlashCrowd,419.5926816544737,422.8162904907683,0.7624135845269626,413.14075105558925,-1.5616785762236145
2,S3_PoP_Failure,398.36656900174444,401.26736782124254,0.7229092251504391,396.04965120416705,-0.5850069026782195
2,S4_BGP_Anomaly,377.7304924084325,380.03927037317726,0.6075103666201844,371.55185242391167,-1.6629280527638124
2,S5_WACREN_OOD,737.799889542829,748.458777065698,1.4241115007905636,721.7600932360845,-2.2223168691453217
3,S1_Nominal,401.8850864712919,406.7818633562169,1.2037844668204618,406.9790675437857,1.2516567751843197
3,S2_FlashCrowd,436.9993378500728,441.3355707904563,0.9825251412699622,435.2380649465043,-0.4046688572114974
3,S3_PoP_Failure,427.5079469054574,437.2939788237959,2.2378611168304463,435.84767566620997,1.913450323672133
3,S4_BGP_Anomaly,419.1361390546981,424.9549946234314,1.3692874874643115,418.5486442856883,-0.14036475258747147
3,S5_WACREN_OOD,819.0180159307783,827.9421597822505,1.077870446145568,828.0487246209264,1.0906011230537411
4,S1_Nominal,394.31324982809645,399.8197580947427,1.377247661017652,387.92123277116866,-1.647761585841933
4,S2_FlashCrowd,432.5537527080826,440.66090538990943,1.8397712578231566,423.798776247002,-2.06583335105666
4,S3_PoP_Failure,416.2573707387062,432.5452272303818,3.7655846062544525,431.80258171226683,3.600073652157839
4,S4_BGP_Anomaly,398.3182967538846,405.2708069071585,1.715522074321672,395.1929252838571,-0.7908470192837186
4,S5_WACREN_OOD,791.2253050894207,811.6918188265332,2.521463597686755,777.1940479836385,-1.8053737212971501
5,S1_Nominal,412.22489995889634,419.841393947149,1.814136028047644,408.2647633410852,-0.9699922632075512
5,S2_FlashCrowd,469.98589241774187,473.753578549697,0.7952839413876666,465.9074370031067,-0.8753789037731096
5,S3_PoP_Failure,439.3997939488847,451.17283234492646,2.6094298131500016,451.17283113710846,2.609429552429329
5,S4_BGP_Anomaly,413.07409411941813,419.99912941394683,1.6488213449850877,409.5796932715879,-0.8531675044526944
5,S5_WACREN_OOD,841.5550919350526,863.0828220031351,2.494283227433337,832.6197658440141,-1.0731580557640155
6,S1_Nominal,391.2367918395045,401.0492316471193,2.4466920849878844,396.2377074441131,1.2620998735497464
6,S2_FlashCrowd,474.85843096849464,476.32762028096937,0.3084409238347549,458.7313438602687,-3.5155843009363528
6,S3_PoP_Failure,418.9686712010622,420.81573572489714,0.4389247756273162,420.49645887639343,0.36332949852030477
6,S4_BGP_Anomaly,406.1198851359237,410.5334452724137,1.0750793113972306,404.95039646912335,-0.2887980051377806
6,S5_WACREN_OOD,787.2096724020516,819.8228930699654,3.9780812348125636,802.970520219043,1.9628177398956015
7,S1_Nominal,361.7340885148466,368.06186492182917,1.7192154390475956,364.2059861628761,0.678708681884236
7,S2_FlashCrowd,424.16683072052535,431.6642419179498,1.736861771109956,414.8674139837971,-2.241539446887344
7,S3_PoP_Failure,384.9485322444126,393.96109182710677,2.287677582802874,390.9296169788649,1.5299645958458146
7,S4_BGP_Anomaly,371.1038833202618,376.3995886101059,1.4069370557494685,370.4593014024849,-0.17399533912000667
7,S5_WACREN_OOD,713.5966381466515,731.9219214551092,2.5037210624906385,727.8887737055525,1.9635054248937356
8,S1_Nominal,380.62807936384087,385.69604560072133,1.313979309533006,381.4697157460146,0.22062993402445383
8,S2_FlashCrowd,425.7315988367967,444.98043769727894,4.3257719283330065,426.9861618408289,0.2938181880704322
8,S3_PoP_Failure,405.8089990007393,412.68681707991584,1.666595053324587,412.68681707991584,1.666595053324587
8,S4_BGP_Anomaly,388.01692397882596,397.9654155409655,2.499838220518811,388.49361500003727,0.12270240817503866
8,S5_WACREN_OOD,751.1219309697085,775.3118047984692,3.1200187691000667,766.4614876008168,2.001347344812362
9,S1_Nominal,390.0934847388363,392.6884553025775,0.6608217096022564,389.82249886389576,-0.06951519620604632
9,S2_FlashCrowd,413.1877499048705,418.4855177487062,1.2659381553597537,402.261255546934,-2.716268148440065
9,S3_PoP_Failure,418.0690198721957,422.4161218047002,1.0291041719554233,422.24676776738517,0.9894090882635135
9,S4_BGP_Anomaly,392.34740441208237,399.2180887924311,1.7210353371340015,391.8006603416421,-0.13954649029012559
9,S5_WACREN_OOD,787.4361739800581,798.6830119931625,1.4081729352220966,791.6265581313538,0.529338500364004
