model,seed,scenario,TE_L_med,B1_L_med,improvement_pct
TE2_MATE,0,S1_Nominal,371.4413488816796,383.5819168286238,3.1650522129197114
TE2_MATE,0,S2_FlashCrowd,467.56895513335024,490.4600157046706,4.667263352432819
TE2_MATE,0,S3_PoP_Failure,409.888697059457,414.64834509710386,1.1478758070364958
TE2_MATE,0,S4_BGP_Anomaly,381.23564112173733,396.45589467229127,3.8390786352501913
TE2_MATE,0,S5_WACREN_OOD,740.6388583099639,770.2779459192627,3.847843205990668
TE2_MATE,1,S1_Nominal,373.14575110005353,388.972760108806,4.06892477620419
TE2_MATE,1,S2_FlashCrowd,444.85580042199257,467.0890150334966,4.759952363664473
TE2_MATE,1,S3_PoP_Failure,410.4023150494484,415.4729224223305,1.22044231987946
TE2_MATE,1,S4_BGP_Anomaly,383.1427427445707,401.21585842594106,4.504586571496757
TE2_MATE,1,S5_WACREN_OOD,754.1495077616428,786.3565361505971,4.095728452467045
TE2_MATE,2,S1_Nominal,361.0650868689735,373.04274601291206,3.210800711702889
TE2_MATE,2,S2_FlashCrowd,408.19778917459155,422.8162904907683,3.4574120356642104
TE2_MATE,2,S3_PoP_Failure,398.23338505726826,401.26736782124254,0.7561000488148004
TE2_MATE,2,S4_BGP_Anomaly,367.3705260727785,380.03927037317726,3.3335355811936944
TE2_MATE,2,S5_WACREN_OOD,716.6650718444647,748.458777065698,4.247889956729373
TE2_MATE,3,S1_Nominal,389.18509432081817,406.7818633562169,4.325848967359028
TE2_MATE,3,S2_FlashCrowd,424.4832344698115,441.3355707904563,3.8184858497721628
TE2_MATE,3,S3_PoP_Failure,435.3490734521934,437.2939788237959,0.444759238815445
TE2_MATE,3,S4_BGP_Anomaly,407.4751651933055,424.9549946234314,4.113336624179564
TE2_MATE,3,S5_WACREN_OOD,786.4679571694921,827.9421597822505,5.009311595349384
TE2_MATE,4,S1_Nominal,385.16092659144124,399.8197580947427,3.6663599550845296
TE2_MATE,4,S2_FlashCrowd,423.3900213105765,440.66090538990943,3.9193138914946726
TE2_MATE,4,S3_PoP_Failure,430.93582148809116,432.5452272303818,0.3720780258276712
TE2_MATE,4,S4_BGP_Anomaly,390.14539486112545,405.2708069071585,3.732174089089531
TE2_MATE,4,S5_WACREN_OOD,772.2774321042248,811.6918188265332,4.8558314631395465
TE2_MATE,5,S1_Nominal,401.46487878794517,419.841393947149,4.377013659000271
TE2_MATE,5,S2_FlashCrowd,454.35277368880753,473.753578549697,4.095125765652517
TE2_MATE,5,S3_PoP_Failure,447.7063466000543,451.17283234492646,0.7683276776341874
TE2_MATE,5,S4_BGP_Anomaly,401.8295918491293,419.99912941394683,4.326089339797132
TE2_MATE,5,S5_WACREN_OOD,819.1140305614595,863.0828220031351,5.094388431880519
TE2_MATE,6,S1_Nominal,385.6425386048068,401.0492316471193,3.841596449153342
TE2_MATE,6,S2_FlashCrowd,455.4936166050635,476.32762028096937,4.373881082859862
TE2_MATE,6,S3_PoP_Failure,411.28388816252425,420.81573572489714,2.265088197320694
TE2_MATE,6,S4_BGP_Anomaly,393.4084859590299,410.5334452724137,4.171392004863414
TE2_MATE,6,S5_WACREN_OOD,776.5066138990491,819.8228930699654,5.283614246085666
TE2_MATE,7,S1_Nominal,356.4321358727092,368.06186492182917,3.1597212744629135
TE2_MATE,7,S2_FlashCrowd,412.75385754082185,431.6642419179498,4.380808633373536
TE2_MATE,7,S3_PoP_Failure,389.9902592491599,393.96109182710677,1.0079250617189082
TE2_MATE,7,S4_BGP_Anomaly,364.77258902800884,376.3995886101059,3.089004327829096
TE2_MATE,7,S5_WACREN_OOD,704.6263203691271,731.9219214551092,3.7293050373073413
TE2_MATE,8,S1_Nominal,371.206494905934,385.69604560072133,3.7567278327211975
TE2_MATE,8,S2_FlashCrowd,426.5468455686147,444.98043769727894,4.142562361630079
TE2_MATE,8,S3_PoP_Failure,412.3388115819354,412.68681707991584,0.08432677846190464
TE2_MATE,8,S4_BGP_Anomaly,381.03254203393817,397.9654155409655,4.254860559682058
TE2_MATE,8,S5_WACREN_OOD,737.299821269609,775.3118047984692,4.902799530924322
TE2_MATE,9,S1_Nominal,378.1292306047569,392.6884553025775,3.7075764518216583
TE2_MATE,9,S2_FlashCrowd,403.3758983474241,418.4855177487062,3.610547739517039
TE2_MATE,9,S3_PoP_Failure,423.3058480485047,422.4161218047002,-0.21062790880312207
TE2_MATE,9,S4_BGP_Anomaly,382.0625588819181,399.2180887924311,4.297282711413615
TE2_MATE,9,S5_WACREN_OOD,758.1969842013027,798.6830119931625,5.069098401232351
